qid,question,aid,answer
29081,cluster plot in r,50395,"Reordered Dissimilarity Matrix First MDS Coordinate e co n d o o rd in a te FIGURE 14.10. Survey of country dissimilarities. (Left panel:) dissimilarities reordered and blocked according to 3-medoid clustering. Heat map is coded from most similar (dark red) to least similar (bright red). (Right panel:) two-dimensional multidimensional scaling plot, with 3-medoid clusters indicated by different colors."
29081,cluster plot in r,50396,"In[5]: kmeans = KMeans(n_clusters=4, random_state=0) plot_kmeans(kmeans, X)"
29081,cluster plot in r,50397,"The most massive main-sequence stars will also have the highest absolute magnitude, and these will be the first to evolve into the giant star stage. As the cluster ages, stars of successively lower masses will also enter the giant star stage. Thus the age of a single population cluster can be measured by looking for the stars that are just beginning to enter the giant star stage. This forms a ""knee"" in the HR diagram, bending to the upper right from the main-sequence line. The absolute magnitude at this bend is directly a function of the age of globular cluster, so an age scale can be plotted on an axis parallel to the magnitude."
29081,cluster plot in r,50398,"In[3]: # Plot the data with k-means labels from sklearn.cluster import KMeans kmeans = KMeans(4, random_state=0) labels = kmeans.fit(X).predict(X) plt.scatter(X[:, 0], X[:, 1], c=labels, s=40, cmap='viridis');"
29081,cluster plot in r,50399,"colors = sapply(clusters, function(c) palette[c]) plot3d(projected_data, col = colors, size = 10) Read cluster and data with hdfs command Create random unit vectors in 3D Project the data The resulting visualization in Figure 5-1 shows data points shaded by cluster number in 3D space."
29082,poisson regression vs linear regression,50400,"In statistics, Poisson regression is a generalized linear model form of regression analysis used to model count data and contingency tables. Poisson regression assumes the response variable Y has a Poisson distribution, and assumes the logarithm of its expected value can be modeled by a linear combination of unknown parameters. A Poisson regression model is sometimes known as a log-linear model, especially when used to model contingency tables."
29082,poisson regression vs linear regression,50401,"Logistic regression is an alternative to Fisher's 1936 method, linear discriminant analysis.  If the assumptions of linear discriminant analysis hold, the conditioning can be reversed to produce logistic regression.  The converse is not true, however, because logistic regression does not require the multivariate normal assumption of discriminant analysis."
29082,poisson regression vs linear regression,50402,"Like other forms of regression analysis, logistic regression makes use of one or more predictor variables that may be either continuous or categorical. Unlike ordinary linear regression, however, logistic regression is used for predicting dependent variables that take membership in one of a limited number of categories (treating the dependent variable in the binomial case as the outcome of a Bernoulli trial) rather than a continuous outcome. Given this difference, the assumptions of linear regression are violated. In particular, the residuals cannot be normally distributed. In addition, linear regression may make nonsensical predictions for a binary dependent variable. What is needed is a way to convert a binary variable into a continuous one that can take on any real value (negative or positive). To do that, binomial logistic regression first calculates the odds of the event happening for different levels of each independent variable, and then takes its logarithm to create a continuous criterion as a transformed version of the dependent variable. The logarithm of the odds is the logit of the probability, the logit is defined as follows:"
29082,poisson regression vs linear regression,50403,"After fitting the model, it is likely that researchers will want to examine the contribution of individual predictors. To do so, they will want to examine the regression coefficients. In linear regression, the regression coefficients represent the change in the criterion for each unit change in the predictor. In logistic regression, however, the regression coefficients represent the change in the logit for each unit change in the predictor. Given that the logit is not intuitive, researchers are likely to focus on a predictor's effect on the exponential function of the regression coefficient – the odds ratio (see definition). In linear regression, the significance of a regression coefficient is assessed by computing a t test. In logistic regression, there are several different tests designed to assess the significance of an individual predictor, most notably the likelihood ratio test and the Wald statistic."
29082,poisson regression vs linear regression,50404,"But for now, using the algorithm you just learned, now we're using batch gradient descent, you now know how to implement gradient descent, or linear regression. So that's linear regression with gradient descent. If you've seen advanced linear algebra before so some you may have taken a class with advanced linear algebra, you might know that there exists a solution for numerically solving for the minimum of the cost function J, without needing to use and iterative algorithm like gradient descent. Later in this course we will talk about that method as well that just solves for the minimum cost function J without needing this multiple steps of gradient descent. That other method is called normal equations methods."
29082,poisson regression vs linear regression,50405,"For linear regression, we had previously worked out two learning algorithms, one based on gradient descent and one based on the normal equation. In this video we will take those two algorithms and generalize them to the case of regularized linear regression. Here's the optimization objective, that we came up with last time for regularized linear regression. This first part is our usual, objective for linear regression, and we now have this additional regularization term, where londer is our regularization parameter, and we like to find parameters theta, that minimizes this cost function, this regularized cost function, J of theta. Previously, we were using gradient descent for the original cost function, without the regularization term, and we had the following algorithm for regular linear regression, without regularization. We will repeatedly update the parameters theta J as follows for J equals 1,2 up through n. Let me take this and just write the case for theta zero separately."
29082,poisson regression vs linear regression,50406,"Not the cost function J to be defined for linear regression. In the next video, we're going to take the function J, and set that back to be exactly linear regression's cost function. The, the square cost function that we came up with earlier. And taking gradient descent, and the square cost function, and putting them together. That will give us our first learning algorithm, that'll give us our linear regression algorithm."
29082,poisson regression vs linear regression,50407,"about the gradient descent algorithm and talked about the linear regression model and the squared error cost function. In this video, we're going to put together gradient descent with our cost function, and that will give us an algorithm for linear regression for fitting a straight line to our data. So, this is what we worked out in the previous videos. That's our gradient descent algorithm, which should be familiar, and you see the linear linear regression model with our linear hypothesis and our squared error cost function. What we're going to do is apply gradient descent to minimize our squared error cost function. Now, in order to apply gradient descent, in order to write this piece of code, the key term we need is this derivative term over here."
29082,poisson regression vs linear regression,50408,"Logistic regression measures the relationship between the categorical dependent variable and one or more independent variables by estimating probabilities using a logistic function, which is the cumulative distribution function of logistic distribution. Thus, it treats the same set of problems as probit regression using similar techniques, with the latter using a cumulative normal distribution curve instead.  Equivalently, in the latent variable interpretations of these two methods, the first assumes a standard logistic distribution of errors and the second a standard normal distribution of errors.Logistic regression can be seen as a special case of the generalized linear model and thus analogous to linear regression. The model of logistic regression, however, is based on quite different assumptions (about the relationship between the dependent and independent variables) from those of linear regression. In particular, the key differences between these two models can be seen in the following two features of logistic regression. First, the conditional distribution "
29082,poisson regression vs linear regression,50409,"the normal equation and linear regression, you should really get that to work okay. Here's the issue: For those of you that are maybe somewhat more familar with linear algebra, what some students have asked me is, when computing this theta equals ( X<u>transpose X )<u>inverse X<u>transpose y</u></u></u> what if the matrix X<u>transpose X is non-invertible?</u> So, for those of you that know a bit more linear algebra you may know that only some matrices are invertible and some matrices do not have an inverse we call those non-invertible matrices, singular or degenerate matrices. The issue or the problem of X<u>tranpose X being non-invertible</u> should happen pretty rarely. And in Octave, if you implement this to compute theta, it turns out that this will actually do the right thing."
29083,r text sentiment analysis,50410,"Similar to text-based sentiment analysis, multimodal sentiment analysis can be applied in the development of different forms of recommender systems such as in the analysis of user-generated videos of movie reviews and general product reviews, to predict the sentiments of customers, and subsequently create product or service recommendations. Multimodal sentiment analysis also plays an important role in the advancement of virtual assistants through the application of natural language processing (NLP) and machine learning techniques. In the healthcare domain, multimodal sentiment analysis can be utilized to detect certain medical conditions such as stress, anxiety, or depression. Multimodal sentiment analysis can also be applied in understanding the sentiments contained in video news programs, which is considered as a complicated and challenging domain, as sentiments expressed by reporters tend to be less obvious or neutral."
29083,r text sentiment analysis,50411,"High-quality information is typically obtained by devising patterns and trends by means such as statistical pattern learning. According to Hotho et al. (2005) we can differ three different perspectives of text mining: information extraction, data mining, and a KDD (Knowledge Discovery in Databases) process. Text mining usually involves the process of structuring the input text (usually parsing, along with the addition of some derived linguistic features and the removal of others, and subsequent insertion into a database), deriving patterns within the structured data, and finally evaluation and interpretation of the output. 'High quality' in text mining usually refers to some combination of relevance, novelty, and interest. Typical text mining tasks include text categorization, text clustering, concept/entity extraction, production of granular taxonomies, sentiment analysis, document summarization, and entity relation modeling (i.e., learning relations between named entities)."
29083,r text sentiment analysis,50412,"Multimodal sentiment analysis is a new dimension of the traditional text-based sentiment analysis, which goes beyond the analysis of texts, and includes other modalities such as audio and visual data. It can be bimodal, which includes different combinations of two modalities, or trimodal, which incorporates three modalities. With the extensive amount of social media data available online in different forms such as videos and images, the conventional text-based sentiment analysis has evolved into more complex models of multimodal sentiment analysis, which can be applied in the development of  virtual assistants, analysis of YouTube movie reviews, analysis of news videos, and emotion recognition (sometimes known as emotion detection) such as depression monitoring, among others."
29083,r text sentiment analysis,50413,"Until recently, websites most often used text-based searches, which only found documents containing specific user-defined words or phrases. Now, through use of a semantic web, text mining can find content based on meaning and context (rather than just by a specific word). Additionally, text mining software can be used to build large dossiers of information about specific people and events.  For example, large datasets based on data extracted from news reports can be built to facilitate social networks analysis or counter-intelligence.  In effect, the text mining software may act in a capacity similar to an intelligence analyst or research librarian, albeit with a more limited scope of analysis. Text mining is also used in some email spam filters as a way of determining the characteristics of messages that are likely to be advertisements or other unwanted material. Text mining plays an important role in determining financial market sentiment."
29083,r text sentiment analysis,50414,"Text mining technology is now broadly applied to a wide variety of government, research, and business needs. All these groups may use text mining for records management and searching documents relevant to their daily activities. Legal professionals may use text mining for e-discovery, for example. Governments and military groups use text mining for national security and intelligence purposes. Scientific researchers incorporate text mining approaches into efforts to organize large sets of text data (i.e., addressing the problem of unstructured data), to determine ideas communicated through text (e.g., sentiment analysis in social media) and to support scientific discovery in fields such as the life sciences and bioinformatics. In business, applications are used to support competitive intelligence and automated ad placement, among numerous other activities."
29083,r text sentiment analysis,50415,"Similar to the traditional sentiment analysis, one of the most basic task in multimodal sentiment analysis is sentiment classification, which classifies different sentiments into categories such as positive, negative, or neutral. The complexity of analyzing text, audio, and visual features to perform such a task requires the application of different fusion techniques, such as feature-level, decision-level, and hybrid fusion. The performance of these fusion techniques and the classification algorithms applied, are influenced by the type of textual, audio, and visual features employed in the analysis."
29083,r text sentiment analysis,50416,"Similar to the conventional text-based sentiment analysis, some of the most commonly used textual features in multimodal sentiment analysis are unigrams and n-grams, which are basically a sequence of words in a given textual document. These features are applied using bag-of-words or bag-of-concepts feature representations, in which words or concepts are represented as vectors in a suitable space."
29083,r text sentiment analysis,50417,"One of the main advantages of analyzing videos with respect to texts alone, is the presence of rich sentiment cues in visual data. Visual features include facial expressions, which are of paramount importance in capturing sentiments and emotions, as they are a main channel of forming a person's present state of mind. Specifically, smile, is considered to be one of the most predictive visual cues in multimodal sentiment analysis. OpenFace is an open-source facial analysis toolkit available for extracting and understanding such visual features."
29083,r text sentiment analysis,50418,Sentiment analysis may involve analysis of movie reviews for estimating how favorable a review is for a movie.
29083,r text sentiment analysis,50419,"Text has been used to detect emotions in the related area of affective computing. Text based approaches to affective computing have been used on multiple corpora such as students evaluations, children stories and news stories."
29084,what is an ordinal variable,50420,"If the dependent variable—the one whose value is determined to some extent by the other, independent variable— is a categorical variable, such as the preferred brand of cereal, then probit or logit regression (or multinomial probit or multinomial logit) can be used. If both variables are ordinal, meaning they are ranked in a sequence as first, second, etc., then a rank correlation coefficient can be computed. If just the dependent variable is ordinal, ordered probit or ordered logit can be used. If the dependent variable is continuous—either interval level or ratio level, such as a temperature scale or an income scale—then simple regression can be used."
29084,what is an ordinal variable,50421,"There is not complete agreement among statisticians about the classification of data into one of the four categories. For example, some researchers classify IQ data as ratio data rather than interval. Also, data can be altered so that they fit into a different category. For instance, if the incomes of all professors of a college are classified into the three categories of low, average, and high, then a ratio variable becomes an ordinal variable. Table 1–2 gives some examples of each type of data. See Figure 1–2."
29084,what is an ordinal variable,50422,Important Terms blinding 20 blocking 20 boundary 7 census 3 cluster sample 14 completely randomized design 20 confounding variable 19 continuous variables 6 control group 19 convenience sample 14 cross-sectional study 18 data 3 data set 3 data value or datum 3 dependent variable 19 descriptive statistics 3 discrete variables 6 double blinding 20 experimental study 18 explanatory variable 19 Hawthorne effect 19 hypothesis testing 4 independent variable 19 inferential statistics 4 interval level of measurement 8 longitudinal study 18 lurking variable 19 matched-pair design 20 measurement scales 8 nominal level of measurement 8 nonsampling error 16 observational study 18 ordinal level of measurement 8 outcome variable 19 placebo effect 20 population 3 probability 4 qualitative variables 6 quantitative variables 6 quasi-experimental study 19 random sample 12 random variable 3 ratio level of measurement
29084,what is an ordinal variable,50423,"In 1946, Stevens observed that psychological measurement, such as measurement of opinions, usually operates on ordinal scales; thus means and standard deviations have no validity, but they can be used to get ideas for how to improve operationalization of variables used in questionnaires. Most psychological data collected by psychometric instruments and tests, measuring cognitive and other abilities, are ordinal, although some theoreticians have argued they can be treated as interval or ratio scales. However, there is little prima facie evidence to suggest that such attributes are anything more than ordinal (Cliff, 1996; Cliff & Keats, 2003; Michell, 2008). In particular, IQ scores reflect an ordinal scale, in which all scores are meaningful for comparison only. There is no absolute zero, and a 10-point difference may carry different meanings at different points of the scale."
29084,what is an ordinal variable,50424,The variable temperature is an example of a quantitative variable. 6. The height of basketball players is considered a continuous variable. 7. The boundary of a value such as 6 inches would be 5.9–6.1 inches. Select the best answer. 8. The number of ads on a one-hour television show is what type of data? a. Nominal b. Qualitative c. Discrete d. Continuous 9. What are the boundaries of 25.6 ounces? a. 25–26 ounces b. 25.55–25.65 ounces c. 25.5–25.7 ounces d. 20–39 ounces 10. A researcher divided subjects into two groups according to gender and then selected members from each group for her sample. What sampling method was the researcher using? a. Cluster b. Random c. Systematic d. Stratified 11. Data that can be classified according to color are measured on what scale? a. Nominal b. Ratio c. Ordinal d. Interval 12. A study that involves no researcher intervention is called a. An experimental study. b.
29084,what is an ordinal variable,50425,"Read the following information about the number of fatal accidents for the transportation industry in for a specific year, and answer each question. 1. Name the variables under study. 2. Categorize each variable as quantitative or qualitative. 3. Categorize each quantitative variable as discrete or continuous. 4. Identify the level of measurement for each variable. 5. The railroad had the fewest fatalities for the specific year. Does that mean railroads have fewer accidents than the other industries? 6. What factors other than safety influence a person’s choice of transportation? 7. From the information given, comment on the relationship between the variables. See page 38 for the answers. Source: Bureau of Labor Statistics. Industry Number of fatalities Highway accidents Railway accidents Water vehicle accidents Aircraft accidents"
29084,what is an ordinal variable,50426,"Another issue is that the same variable may be a different scale type depending on how it is measured and on the goals of the analysis. For example, hair color is usually thought of as a nominal variable, since it has no apparent ordering. However, it is possible to order colors (including hair colors) in various ways, including by hue; this is known as colorimetry. Hue is an interval level variable."
29084,what is an ordinal variable,50427,"The ordinal scale places events in order, but there is no attempt to make the intervals of the scale equal in terms of some rule. Rank orders represent ordinal scales and are frequently used in research relating to qualitative phenomena. A student’s rank in his graduation class involves the use of an ordinal scale. One has to be very careful in making statement about scores based on ordinal scales. For instance, if Devi’s position in his class is 10 and Ganga's position is 40, it cannot be said that Devi’s position is four times as good as that of Ganga. The statement would make no sense at all."
29084,what is an ordinal variable,50428,"The ordinal type allows for rank order (1st, 2nd, 3rd, etc.) by which data can be sorted, but still does not allow for relative degree of difference between them. Examples include, on one hand, dichotomous data with dichotomous (or dichotomized) values such as 'sick' vs. 'healthy' when measuring health, 'guilty' vs. 'not-guilty' when making judgments in courts, 'wrong/false' vs. 'right/true' when measuring truth value, and, on the other hand, non-dichotomous data consisting of a spectrum of values, such as 'completely agree', 'mostly agree', 'mostly disagree', 'completely disagree' when measuring opinion."
29084,what is an ordinal variable,50429,"Ordinal scales only permit the ranking of items from highest to lowest. Ordinal measures have no absolute values, and the real differences between adjacent ranks may not be equal. All that can be said is that one person is higher or lower on the scale than another, but more precise comparisons cannot be made. Thus, the use of an ordinal scale implies a statement of ‘greater than’ or ‘less than’ (an equality statement is also acceptable) without our being able to state how much greater or less. The real difference between ranks 1 and 2 may be more or less than the difference between ranks 5 and 6. Since the numbers of this scale have only a rank meaning, the appropriate measure of central tendency is the median. A percentile or quartile measure is used for measuring dispersion. Correlations are restricted to various rank order methods. Measures of statistical significance are restricted to the non-parametric methods (R. M. Kothari, 2004)."
29085,sklearn install,50431,scikit-learn can be installed on OS X using Macports. $ sudo port install py27-sklearn
29085,sklearn install,50432,"In[18]: # Note: this requires the pillow package to be installed from sklearn.datasets import load_sample_image china = load_sample_image(""china.jpg"") ax = plt.axes(xticks=[], yticks=[]) ax.imshow(china);"
29085,sklearn install,50433,"interchangeably in this recipe. Getting ready To use the SklearnClassifier class, you must have scikit-learn installed. Instructions are available online at http://scikit-learn.org/stable/install.html. If you have all the dependencies installed, such as NumPy and SciPy, you should be able to install scikit-learn with pip: $ pip install scikit-learn To test if everything is installed correctly, try to import the SklearnClassifier class: >>> from nltk.classify import scikitlearn If the import fails, then you are still missing scikit-learn and its dependencies."
29085,sklearn install,50434,"Here's how to use train_classifier.py to do this: $ python train_classifier.py movie_reviews --no-pickle --fraction 0.75 -classifier GIS --max_iter 10 --min_lldelta 0.5 loading movie_reviews 2 labels: ['neg', 'pos'] using bag of words feature extraction 1500 training feats, 500 testing feats training GIS classifier ==> Training (10 iterations) accuracy: 0.712000 neg precision: 0.964912 neg recall: 0.440000 neg f-measure: 0.604396 pos precision: 0.637306 pos recall: 0.984000 pos f-measure: 0.773585 If you have scikit-learn installed, then you can use many different sklearn algorithms for classification."
29085,sklearn install,50435,"To verify that scikit-learn has been installed correctly, open a Python console and execute the following:"
29085,sklearn install,50436,Here's an example with three sklearn classifiers: $ python train_classifier.py movie_reviews --no-pickle --fraction 0.75 -classifier sklearn.LogisticRegression sklearn.MultinomialNB sklearn.
29085,sklearn install,50437,  
29085,sklearn install,50438,    
29085,sklearn install,50439,      
29086,error of estimate calculator,50441,"One of the first low-cost calculators was the Sinclair Cambridge, launched in August 1973. It retailed for £29.95 ($39.93), or £5 ($6.67) less in kit form. The Sinclair calculators were successful because they were far cheaper than the competition; however, their design led to slow and inaccurate computations of transcendental functions.Meanwhile, Hewlett-Packard (HP) had been developing a pocket calculator. Launched in early 1972, it was unlike the other basic four-function pocket calculators then available in that it was the first pocket calculator with scientific functions that could replace a slide rule. The $395 HP-35, along with nearly all later HP engineering calculators, used reverse Polish notation (RPN), also called postfix notation. A calculation like ""8 plus 5"" is, using RPN, performed by pressing 8, Enter↑, 5, and +; instead of the algebraic infix notation: 8, +, 5, =. It had 35 buttons and was based on Mostek Mk6020 chip."
29086,error of estimate calculator,50442,"In 1978 a new company, Calculated Industries arose which focused on specialized markets. Their first calculator, the Loan Arranger (1978) was a pocket calculator marketed to the Real Estate industry with preprogrammed functions to simplify the process of calculating payments and future values. In 1985, CI launched a calculator for the construction industry called the Construction Master which came preprogrammed with common construction calculations (such as angles, stairs, roofing math, pitch, rise, run, and feet-inch fraction conversions). This would be the first in a line of construction related calculators."
29086,error of estimate calculator,50443,"In 1921, Edith Clarke invented the ""Clarke calculator"", a simple graph-based calculator for solving line equations involving hyperbolic functions. This allowed electrical engineers to simplify calculations for inductance and capacitance in power transmission lines.The Curta calculator was developed in 1948 and, although costly, became popular for its portability. This purely mechanical hand-held device could do addition, subtraction, multiplication and division. By the early 1970s electronic pocket calculators ended manufacture of mechanical calculators, although the Curta remains a popular collectable item."
29086,error of estimate calculator,50444,"In 1642, the Renaissance saw the invention of the mechanical calculator (by Wilhelm Schickard and several decades later Blaise Pascal), a device that was at times somewhat over-promoted as being able to perform all four arithmetic operations with minimal human intervention. Pascal's calculator could add and subtract two numbers directly and thus, if the tedium could be borne, multiply and divide by repetition. Schickard's machine, constructed several decades earlier, used a clever set of mechanised multiplication tables to ease the process of multiplication and division with the adding machine as a means of completing this operation. (Because they were different inventions with different aims a debate about whether Pascal or Schickard should be credited as the ""inventor"" of the adding machine (or calculating machine) is probably pointless.) Schickard and Pascal were followed by Gottfried Leibniz who spent forty years designing a four-operation mechanical calculator, the stepped reckoner, inventing in the process his leibniz wheel, but who couldn't design a fully operational machine. There were also five unsuccessful attempts to design a calculating clock in the 17th century."
29086,error of estimate calculator,50445,"In 1971 Pico Electronics. and General Instrument also introduced their first collaboration in ICs, a full single chip calculator IC for the Monroe Royal Digital III calculator. Pico was a spinout by five GI design engineers whose vision was to create single chip calculator ICs. Pico and GI went on to have significant success in the burgeoning handheld calculator market."
